19125021,0
19125024,0
19125026,0
19125034,0
19125036,0
19125039,0
19125047,0
19125049,0
19125054,0
19125059,0
19125060,0
19125076,0
19125077,0
19125080,0
19125083,0
19125084,0
19125087,0
19125089,0
19125091,0
19125094,0
19125095,0
19125098,0
19125099,0
19125100,0
19125101,0
19125104,0
19125106,0
19125111,0
19125114,0
19125115,0
19125116,0
19125117,0
19125118,0
19125120,0
19125121,0
19125123,0
19125124,0
19125125,0
19125128,0
19125129,0
19125130,0
19125131,0
19125132,0
19125135,0
19125136,0
18125146,0
